"id","contingency","phase_str","condval"
"ss15","90/10","acq",0.0319322543593633
"ss15","90/10","ext",-0.0413133235526655
"ss16","60/40","acq",0.0045251380593459
"ss16","60/40","ext",-0.000730673163661534
"ss16","75/25","acq",0.00439224542068264
"ss16","75/25","ext",-0.00645657953615519
"ss16","90/10","acq",0.00186222603023131
"ss16","90/10","ext",-0.0022831038260385
"ss17","60/40","acq",0.0363315067559324
"ss17","60/40","ext",-0.0496730115098094
"ss17","75/25","acq",0.0512806385596876
"ss17","75/25","ext",-0.0254501996125631
"ss17","90/10","acq",0.0665982063257633
"ss17","90/10","ext",-0.0551640932781363
"ss18","60/40","acq",0.0128701132150337
"ss18","60/40","ext",0.0192769531661405
"ss18","75/25","acq",-0.00166781669033478
"ss18","75/25","ext",-0.0132501653154546
"ss18","90/10","acq",0.047681101898998
"ss18","90/10","ext",0.0174715337726848
"ss19","60/40","acq",0.00251990799143055
"ss19","60/40","ext",-0.032470600102829
"ss19","75/25","acq",0.00641083220406676
"ss19","75/25","ext",0.00840525089842228
"ss19","90/10","acq",0.0345764037402342
"ss19","90/10","ext",-0.0307054185049866
"ss20","60/40","acq",0.00551373535374728
"ss20","60/40","ext",-0.0102815865114812
"ss20","75/25","acq",-0.000407698086952001
"ss20","75/25","ext",-0.000437437401488758
"ss20","90/10","acq",-0.00277523843154994
"ss20","90/10","ext",0.0175760225157652
"ss21","60/40","acq",0.0230089932919878
"ss21","60/40","ext",-0.0493407493673034
"ss21","75/25","acq",0.0522161774249231
"ss21","75/25","ext",-0.0454504450289245
"ss21","90/10","acq",0.0676753020901268
"ss21","90/10","ext",-0.0944763658231914
"ss22","60/40","acq",0.0179425421679663
"ss22","60/40","ext",-0.00229983679132626
"ss22","75/25","acq",0.0114166080052488
"ss22","75/25","ext",-0.00522506385809427
"ss22","90/10","acq",0.0674809403720037
"ss22","90/10","ext",-0.0225251232724569
"ss23","60/40","acq",0.0134035182690255
"ss23","60/40","ext",-0.0397636350780113
"ss23","75/25","acq",0.0209134373114426
"ss23","75/25","ext",-0.00679486844552049
"ss23","90/10","acq",0.0653772119880309
"ss23","90/10","ext",-0.0011432173082766
"ss24","60/40","acq",0.0171026949947556
"ss24","60/40","ext",0.00600579723217961
"ss24","75/25","acq",0.0288778496854341
"ss24","75/25","ext",0.00412207957019028
"ss24","90/10","acq",-0.0414587616750228
"ss24","90/10","ext",0.000689498171324611
"ss25","60/40","acq",0.0025526091128357
"ss25","60/40","ext",0.00792692715464238
"ss25","75/25","acq",0.0163767170269057
"ss25","75/25","ext",-0.0392912385958501
"ss25","90/10","acq",0.0341874382740994
"ss25","90/10","ext",-0.0137610487961552
"ss26","60/40","acq",0.0183205662216728
"ss26","60/40","ext",-0.0371357247395162
"ss26","75/25","acq",0.0264248597129834
"ss26","75/25","ext",-0.0227889131345659
"ss26","90/10","acq",0.0729122095268702
"ss26","90/10","ext",-0.064681203151474
"ss27","60/40","acq",0.00832134907880933
"ss27","60/40","ext",-0.0162195042333333
"ss27","75/25","acq",0.00725824590061762
"ss27","75/25","ext",-0.0110254003679066
"ss27","90/10","acq",0.0376007758034174
"ss27","90/10","ext",-0.0447074386488598
"ss28","60/40","acq",0.00138193474517701
"ss28","60/40","ext",-0.0241207004502769
"ss28","75/25","acq",0.00442789461201171
"ss28","75/25","ext",-0.0239737376760696
"ss28","90/10","acq",0.0406162490086146
"ss28","90/10","ext",-0.0263802954114479
"ss29","60/40","acq",0.0173859760073117
"ss29","60/40","ext",-0.0359162635377936
"ss29","75/25","acq",0.0677567139479631
"ss29","75/25","ext",-0.0201845778660091
"ss29","90/10","acq",0.0826998881293479
"ss29","90/10","ext",-0.0814540862136376
"ss3","60/40","acq",0.00108894271363764
"ss3","60/40","ext",-0.00571384393260043
"ss3","75/25","acq",-0.00433287466091858
"ss3","75/25","ext",-0.00906452039259749
"ss3","90/10","acq",0.0347357777546416
"ss3","90/10","ext",-0.063393762152621
"ss30","60/40","acq",-0.000392979779062092
"ss30","60/40","ext",-0.0510736698039649
"ss30","75/25","acq",0.0351645922702429
"ss30","75/25","ext",-0.0286024224168086
"ss30","90/10","acq",0.112980689174852
"ss30","90/10","ext",-0.0660955278035701
"ss32","60/40","acq",-0.00540972444605706
"ss32","60/40","ext",-0.00473130156052972
"ss32","75/25","acq",0.00368455861450744
"ss32","75/25","ext",-0.00994708282957096
"ss32","90/10","acq",0.028793577253948
"ss32","90/10","ext",-0.00749526721644352
"ss33","60/40","acq",0.0215138326662487
"ss33","60/40","ext",0.0134519287721347
"ss33","75/25","acq",0.0277998795192057
"ss33","75/25","ext",-0.0558836112196506
"ss33","90/10","acq",0.034065377463294
"ss33","90/10","ext",-0.0750170207641262
"ss34","60/40","acq",-0.00431243444598273
"ss34","60/40","ext",-0.00479626476199694
