specID,order_str,contingency,phase_str,id,prob
ss24_bl6040,second,60/40,ext,ss24,0.816774193548387
ss24_bl7525,third,75/25,acq,ss24,0.520327868852459
ss24_bl7525,third,75/25,ext,ss24,0.587820512820513
ss24_bl9010,first,90/10,acq,ss24,0.528875
ss24_bl9010,first,90/10,ext,ss24,0.5390625
ss25_bl6040,second,60/40,acq,ss25,0.858214285714286
ss25_bl6040,second,60/40,ext,ss25,0.899428571428572
ss25_bl7525,third,75/25,acq,ss25,0.905897435897436
ss25_bl7525,third,75/25,ext,ss25,0.437777777777778
ss25_bl9010,first,90/10,acq,ss25,0.653666666666667
ss25_bl9010,first,90/10,ext,ss25,0.7147
ss26_bl6040,first,60/40,acq,ss26,0.659583333333333
ss26_bl6040,first,60/40,ext,ss26,0.50671875
ss26_bl7525,third,75/25,acq,ss26,0.577125
ss26_bl7525,third,75/25,ext,ss26,0.501145833333334
ss26_bl9010,second,90/10,acq,ss26,0.552833333333333
ss26_bl9010,second,90/10,ext,ss26,0.3939
ss27_bl6040,second,60/40,acq,ss27,0.485660377358491
ss27_bl6040,second,60/40,ext,ss27,0.585131578947368
ss27_bl7525,first,75/25,acq,ss27,0.255375
ss27_bl7525,first,75/25,ext,ss27,0.236041666666667
ss27_bl9010,third,90/10,acq,ss27,0.756
ss27_bl9010,third,90/10,ext,ss27,0.438020833333333
ss28_bl6040,first,60/40,acq,ss28,0.702765957446809
ss28_bl6040,first,60/40,ext,ss28,0.576774193548387
ss28_bl7525,second,75/25,acq,ss28,0.782551020408163
ss28_bl7525,second,75/25,ext,ss28,0.66258064516129
ss28_bl9010,third,90/10,acq,ss28,0.7309375
ss28_bl9010,third,90/10,ext,ss28,0.58969696969697
ss29_bl6040,second,60/40,acq,ss29,0.579333333333333
ss29_bl6040,second,60/40,ext,ss29,0.141296296296296
ss29_bl7525,first,75/25,acq,ss29,0.593214285714286
ss29_bl7525,first,75/25,ext,ss29,0.369186046511628
ss29_bl9010,third,90/10,acq,ss29,0.723981481481481
ss29_bl9010,third,90/10,ext,ss29,0.219848484848485
ss30_bl6040,first,60/40,acq,ss30,0.562659574468085
ss30_bl6040,first,60/40,ext,ss30,0.276612903225806
ss30_bl7525,second,75/25,acq,ss30,0.726666666666666
ss30_bl7525,second,75/25,ext,ss30,0.510086206896552
ss30_bl9010,third,90/10,acq,ss30,0.757209302325582
ss30_bl9010,third,90/10,ext,ss30,0.366636363636364
ss32_bl6040,third,60/40,acq,ss32,0.588777777777778
ss32_bl6040,third,60/40,ext,ss32,0.548518518518519
ss32_bl7525,first,75/25,acq,ss32,0.745833333333333
ss32_bl7525,first,75/25,ext,ss32,0.687586206896552
ss32_bl9010,second,90/10,acq,ss32,0.802386363636364
ss32_bl9010,second,90/10,ext,ss32,0.74
ss33_bl6040,second,60/40,acq,ss33,0.674833333333333
ss33_bl6040,second,60/40,ext,ss33,0.484545454545454
ss33_bl7525,third,75/25,acq,ss33,0.669081632653061
ss33_bl7525,third,75/25,ext,ss33,0.461129032258064
ss33_bl9010,first,90/10,acq,ss33,0.759875
ss33_bl9010,first,90/10,ext,ss33,0.2871875
ss34_bl6040,third,60/40,acq,ss34,0.549166666666667
ss34_bl6040,third,60/40,ext,ss34,0.206136363636364
ss34_bl7525,second,75/25,acq,ss34,0.566875
ss34_bl7525,second,75/25,ext,ss34,0.415416666666667
ss34_bl9010,first,90/10,acq,ss34,0.6725
ss34_bl9010,first,90/10,ext,ss34,0.312575757575758
ss35_bl6040,third,60/40,acq,ss35,0.564196428571428
ss35_bl6040,third,60/40,ext,ss35,0.537333333333333
ss35_bl7525,second,75/25,acq,ss35,0.640714285714286
ss35_bl7525,second,75/25,ext,ss35,0.372096774193548
ss35_bl9010,first,90/10,acq,ss35,0.728240740740741
ss35_bl9010,first,90/10,ext,ss35,0.384242424242424
ss36_bl6040,first,60/40,acq,ss36,0.568636363636363
ss36_bl6040,first,60/40,ext,ss36,0.55546875
ss36_bl7525,third,75/25,acq,ss36,0.696666666666667
ss36_bl7525,third,75/25,ext,ss36,0.676206896551724
ss36_bl9010,second,90/10,acq,ss36,0.589545454545455
ss36_bl9010,second,90/10,ext,ss36,0.522666666666667
ss37_bl6040,first,60/40,acq,ss37,0.597872340425532
ss37_bl6040,first,60/40,ext,ss37,0.336129032258065
ss37_bl7525,second,75/25,acq,ss37,0.726475409836066
ss37_bl7525,second,75/25,ext,ss37,0.355384615384615
ss37_bl9010,third,90/10,acq,ss37,0.760294117647059
ss37_bl9010,third,90/10,ext,ss37,0.181875
ss38_bl6040,third,60/40,acq,ss38,0.387340425531915
ss38_bl6040,third,60/40,ext,ss38,0.324838709677419
ss38_bl7525,first,75/25,acq,ss38,0.562051282051282
ss38_bl7525,first,75/25,ext,ss38,0.534259259259259
ss38_bl9010,second,90/10,acq,ss38,0.633720930232558
ss38_bl9010,second,90/10,ext,ss38,0.32
ss39_bl6040,second,60/40,acq,ss39,0.724090909090909
ss39_bl6040,second,60/40,ext,ss39,0.70734375
ss39_bl7525,third,75/25,acq,ss39,0.70925
ss39_bl7525,third,75/25,ext,ss39,0.5740625
ss39_bl9010,first,90/10,acq,ss39,0.727727272727273
ss39_bl9010,first,90/10,ext,ss39,0.626333333333333
ss3_bl6040,third,60/40,acq,ss3,0.597666666666667
ss3_bl6040,third,60/40,ext,ss3,0.553409090909091
ss3_bl7525,first,75/25,acq,ss3,0.765125
ss3_bl7525,first,75/25,ext,ss3,0.684583333333333
ss3_bl9010,second,90/10,acq,ss3,0.579351851851852
ss3_bl9010,second,90/10,ext,ss3,0.424848484848485
ss40_bl6040,third,60/40,acq,ss40,0.583333333333333
ss40_bl6040,third,60/40,ext,ss40,0.545925925925926
ss40_bl7525,first,75/25,acq,ss40,0.768888888888889
ss40_bl7525,first,75/25,ext,ss40,0.748103448275862
ss40_bl9010,second,90/10,acq,ss40,0.870166666666667
ss40_bl9010,second,90/10,ext,ss40,0.8643
ss41_bl6040,third,60/40,acq,ss41,0.46
ss41_bl6040,third,60/40,ext,ss41,0.370483870967742
ss41_bl7525,second,75/25,acq,ss41,0.5405
ss41_bl7525,second,75/25,ext,ss41,0.349375
ss41_bl9010,first,90/10,acq,ss41,0.866125
ss41_bl9010,first,90/10,ext,ss41,0.214583333333333
ss42_bl6040,third,60/40,acq,ss42,0.766666666666667
ss42_bl6040,third,60/40,ext,ss42,0.680909090909091
ss42_bl7525,second,75/25,acq,ss42,0.692083333333333
ss42_bl7525,second,75/25,ext,ss42,0.712083333333333
ss42_bl9010,first,90/10,acq,ss42,0.543488372093023
ss42_bl9010,first,90/10,ext,ss42,0.465363636363636
ss4_bl7525,third,75/25,acq,ss4,0.54275
ss4_bl7525,third,75/25,ext,ss4,0.379270833333333
ss4_bl9010,first,90/10,acq,ss4,0.388529411764706
ss4_bl9010,first,90/10,ext,ss4,0.459479166666667
ss5_bl6040,third,60/40,acq,ss5,0.520267857142857
ss5_bl6040,third,60/40,ext,ss5,0.550833333333333
ss5_bl7525,second,75/25,acq,ss5,0.729583333333333
ss5_bl7525,second,75/25,ext,ss5,0.426034482758621
ss5_bl9010,first,90/10,acq,ss5,0.889625
ss5_bl9010,first,90/10,ext,ss5,0.248958333333333
ss7_bl6040,third,60/40,acq,ss7,0.509818181818182
ss7_bl6040,third,60/40,ext,ss7,0.38421875
ss7_bl7525,second,75/25,acq,ss7,0.467678571428571
ss7_bl7525,second,75/25,ext,ss7,0.477093023255814
ss7_bl9010,first,90/10,acq,ss7,0.453833333333333
ss7_bl9010,first,90/10,ext,ss7,0.3942
ss8_bl6040,second,60/40,acq,ss8,0.534910714285714
ss8_bl6040,second,60/40,ext,ss8,0.4585
ss8_bl9010,third,90/10,acq,ss8,0.682159090909091
ss8_bl9010,third,90/10,ext,ss8,0.429666666666667
ss9_bl6040,first,60/40,acq,ss9,0.791636363636364
ss9_bl6040,first,60/40,ext,ss9,0.77859375
ss9_bl7525,second,75/25,acq,ss9,0.673360655737705
ss9_bl7525,second,75/25,ext,ss9,0.637692307692308
ss9_bl9010,third,90/10,acq,ss9,0.745666666666667
ss9_bl9010,third,90/10,ext,ss9,0.7934
