"","id","ta","tabin","grpvar","term","grp","condval","condsd","phase","contingency","half","phase_str","half_str","abscondval","slope"
"1","ss10",15.983548348917,"hiAnx","id","trno","ss10",0.0569659245389907,0.0166661471583,"acq","60/40","first","acq","first",0.0569659245389907,0.0569659245389907
"2","ss12",4.98354834891703,"hiAnx","id","trno","ss12",0.014366723303635,0.0166661471583,"acq","60/40","first","acq","first",0.014366723303635,0.014366723303635
"3","ss13",-13.016451651083,"lowAnx","id","trno","ss13",0.0217159863381066,0.0277477230419116,"acq","60/40","first","acq","first",0.0217159863381066,0.0217159863381066
"4","ss14",3.98354834891703,"hiAnx","id","trno","ss14",0.0682309908086844,0.0166661471583,"acq","60/40","first","acq","first",0.0682309908086844,0.0682309908086844
"5","ss15",-3.01645165108297,"lowAnx","id","trno","ss15",0.00422690387241977,0.0277477230419116,"acq","60/40","first","acq","first",0.00422690387241977,0.00422690387241977
"6","ss16",-10.016451651083,"lowAnx","id","trno","ss16",0.0109830267821202,0.0166661471583,"acq","60/40","first","acq","first",0.0109830267821202,0.0109830267821202
"7","ss17",8.98354834891703,"hiAnx","id","trno","ss17",0.0429013218905678,0.0277477230419116,"acq","60/40","first","acq","first",0.0429013218905678,0.0429013218905678
"8","ss18",-6.01645165108297,"lowAnx","id","trno","ss18",0.0379082601992268,0.0187852261037623,"acq","60/40","first","acq","first",0.0379082601992268,0.0379082601992268
"9","ss19",-6.01645165108297,"lowAnx","id","trno","ss19",-0.00588646038366748,0.021090971157982,"acq","60/40","first","acq","first",0.00588646038366748,0.00588646038366748
"10","ss20",-11.016451651083,"lowAnx","id","trno","ss20",-0.0107223702632479,0.021090971157982,"acq","60/40","first","acq","first",0.0107223702632479,0.0107223702632479
"11","ss21",9.98354834891703,"hiAnx","id","trno","ss21",0.00179412023150837,0.0277477230419116,"acq","60/40","first","acq","first",0.00179412023150837,0.00179412023150837
"12","ss22",11.983548348917,"hiAnx","id","trno","ss22",0.0440585266329369,0.0234189718513288,"acq","60/40","first","acq","first",0.0440585266329369,0.0440585266329369
"13","ss23",3.98354834891703,"hiAnx","id","trno","ss23",-0.00480208922899223,0.0277477230419116,"acq","60/40","first","acq","first",0.00480208922899223,0.00480208922899223
"14","ss24",-13.016451651083,"lowAnx","id","trno","ss24",0.00541211744420597,0.021090971157982,"acq","60/40","first","acq","first",0.00541211744420597,0.00541211744420597
"15","ss25",-0.0164516510829671,"hiAnx","id","trno","ss25",-0.0323639373902252,0.0277477230419116,"acq","60/40","first","acq","first",0.0323639373902252,0.0323639373902252
"16","ss26",9.98354834891703,"hiAnx","id","trno","ss26",0.0321710759722609,0.0187852261037623,"acq","60/40","first","acq","first",0.0321710759722609,0.0321710759722609
"17","ss27",-13.016451651083,"lowAnx","id","trno","ss27",0.0148178281736162,0.0277477230419116,"acq","60/40","first","acq","first",0.0148178281736162,0.0148178281736162
"18","ss28",-2.01645165108297,"lowAnx","id","trno","ss28",0.00228538545061399,0.021090971157982,"acq","60/40","first","acq","first",0.00228538545061399,0.00228538545061399
"19","ss29",-0.0164516510829671,"hiAnx","id","trno","ss29",0.0469292531846081,0.0234189718513288,"acq","60/40","first","acq","first",0.0469292531846081,0.0469292531846081
"20","ss3",5.98354834891703,"hiAnx","id","trno","ss3",0.00779138549212258,0.021090971157982,"acq","60/40","first","acq","first",0.00779138549212258,0.00779138549212258
"21","ss30",12.983548348917,"hiAnx","id","trno","ss30",0.00555466918532036,0.021090971157982,"acq","60/40","first","acq","first",0.00555466918532036,0.00555466918532036
"22","ss32",-13.016451651083,"lowAnx","id","trno","ss32",-0.0118943384158531,0.0234189718513288,"acq","60/40","first","acq","first",0.0118943384158531,0.0118943384158531
"23","ss33",-3.01645165108297,"lowAnx","id","trno","ss33",0.0193658320031971,0.021090971157982,"acq","60/40","first","acq","first",0.0193658320031971,0.0193658320031971
"24","ss34",12.983548348917,"hiAnx","id","trno","ss34",0.0297783613894936,0.021090971157982,"acq","60/40","first","acq","first",0.0297783613894936,0.0297783613894936
"25","ss35",-1.01645165108297,"lowAnx","id","trno","ss35",0.0490646665177679,0.0166661471583,"acq","60/40","first","acq","first",0.0490646665177679,0.0490646665177679
"26","ss36",-3.01645165108297,"lowAnx","id","trno","ss36",0.0193908819142999,0.0166661471583,"acq","60/40","first","acq","first",0.0193908819142999,0.0193908819142999
"27","ss37",12.983548348917,"hiAnx","id","trno","ss37",0.0159140900528648,0.021090971157982,"acq","60/40","first","acq","first",0.0159140900528648,0.0159140900528648
"28","ss38",-20.016451651083,"lowAnx","id","trno","ss38",-0.0206058869661031,0.021090971157982,"acq","60/40","first","acq","first",0.0206058869661031,0.0206058869661031
"29","ss39",-7.01645165108297,"lowAnx","id","trno","ss39",0.0462905238217716,0.0166661471583,"acq","60/40","first","acq","first",0.0462905238217716,0.0462905238217716
"30","ss40",15.983548348917,"hiAnx","id","trno","ss40",0.0618784903530565,0.0234189718513288,"acq","60/40","first","acq","first",0.0618784903530565,0.0618784903530565
"31","ss41",1.98354834891703,"hiAnx","id","trno","ss41",-0.00651041161462069,0.021090971157982,"acq","60/40","first","acq","first",0.00651041161462069,0.00651041161462069
"32","ss42",6.98354834891703,"hiAnx","id","trno","ss42",-0.0055489792629517,0.021090971157982,"acq","60/40","first","acq","first",0.0055489792629517,0.0055489792629517
"33","ss5",26.983548348917,"hiAnx","id","trno","ss5",0.105834547771344,0.0166661471583,"acq","60/40","first","acq","first",0.105834547771344,0.105834547771344
"34","ss7",19.983548348917,"hiAnx","id","trno","ss7",-0.0296248453501495,0.0166661471583,"acq","60/40","first","acq","first",0.0296248453501495,0.0296248453501495
"35","ss8",-20.016451651083,"lowAnx","id","trno","ss8",0.0294179236517338,0.0166661471583,"acq","60/40","first","acq","first",0.0294179236517338,0.0294179236517338
"36","ss9",0.983548348917033,"hiAnx","id","trno","ss9",0.0151536068351775,0.0166661471583,"acq","60/40","first","acq","first",0.0151536068351775,0.0151536068351775
"37","ss10",15.983548348917,"hiAnx","id","trno","ss10",0.0217207442412218,0.010430913486155,"acq","60/40","second","acq","second",0.0217207442412218,0.0217207442412218
"38","ss12",4.98354834891703,"hiAnx","id","trno","ss12",0.00416578176118682,0.010430913486155,"acq","60/40","second","acq","second",0.00416578176118682,0.00416578176118682
"39","ss13",-13.016451651083,"lowAnx","id","trno","ss13",-0.00332859831110776,0.010430913486155,"acq","60/40","second","acq","second",0.00332859831110776,0.00332859831110776
"40","ss14",3.98354834891703,"hiAnx","id","trno","ss14",0.00763533536062685,0.010430913486155,"acq","60/40","second","acq","second",0.00763533536062685,0.00763533536062685
"41","ss15",-3.01645165108297,"lowAnx","id","trno","ss15",-0.000819315642671543,0.010430913486155,"acq","60/40","second","acq","second",0.000819315642671543,0.000819315642671543
"42","ss16",-10.016451651083,"lowAnx","id","trno","ss16",-0.00217725550480114,0.010430913486155,"acq","60/40","second","acq","second",0.00217725550480114,0.00217725550480114
"43","ss17",8.98354834891703,"hiAnx","id","trno","ss17",0.0310830420600411,0.010430913486155,"acq","60/40","second","acq","second",0.0310830420600411,0.0310830420600411
"44","ss18",-6.01645165108297,"lowAnx","id","trno","ss18",-0.00211631171577977,0.0117960789461312,"acq","60/40","second","acq","second",0.00211631171577977,0.00211631171577977
"45","ss19",-6.01645165108297,"lowAnx","id","trno","ss19",-0.0359418192292222,0.0115606362190498,"acq","60/40","second","acq","second",0.0359418192292222,0.0359418192292222
"46","ss20",-11.016451651083,"lowAnx","id","trno","ss20",0.0131843207709297,0.0115606362190498,"acq","60/40","second","acq","second",0.0131843207709297,0.0131843207709297
"47","ss21",9.98354834891703,"hiAnx","id","trno","ss21",0.0306512909667224,0.010430913486155,"acq","60/40","second","acq","second",0.0306512909667224,0.0306512909667224
"48","ss22",11.983548348917,"hiAnx","id","trno","ss22",0.0100704060360518,0.0117960789461312,"acq","60/40","second","acq","second",0.0100704060360518,0.0100704060360518
"49","ss23",3.98354834891703,"hiAnx","id","trno","ss23",0.0126377693932531,0.010430913486155,"acq","60/40","second","acq","second",0.0126377693932531,0.0126377693932531
"50","ss24",-13.016451651083,"lowAnx","id","trno","ss24",0.0189378007697397,0.0115606362190498,"acq","60/40","second","acq","second",0.0189378007697397,0.0189378007697397
"51","ss25",-0.0164516510829671,"hiAnx","id","trno","ss25",0.00971684482169009,0.0123997488906358,"acq","60/40","second","acq","second",0.00971684482169009,0.00971684482169009
"52","ss26",9.98354834891703,"hiAnx","id","trno","ss26",0.0027745188564198,0.0117960789461312,"acq","60/40","second","acq","second",0.0027745188564198,0.0027745188564198
"53","ss27",-13.016451651083,"lowAnx","id","trno","ss27",0.0022488524112797,0.010430913486155,"acq","60/40","second","acq","second",0.0022488524112797,0.0022488524112797
"54","ss28",-2.01645165108297,"lowAnx","id","trno","ss28",-0.0180600802770097,0.0115606362190498,"acq","60/40","second","acq","second",0.0180600802770097,0.0180600802770097
"55","ss29",-0.0164516510829671,"hiAnx","id","trno","ss29",0.0312289880072261,0.0117960789461312,"acq","60/40","second","acq","second",0.0312289880072261,0.0312289880072261
"56","ss3",5.98354834891703,"hiAnx","id","trno","ss3",0.0113824676961728,0.0123997488906358,"acq","60/40","second","acq","second",0.0113824676961728,0.0113824676961728
"57","ss30",12.983548348917,"hiAnx","id","trno","ss30",-0.00704643573229795,0.0115606362190498,"acq","60/40","second","acq","second",0.00704643573229795,0.00704643573229795
"58","ss32",-13.016451651083,"lowAnx","id","trno","ss32",0.00708049361154572,0.0117960789461312,"acq","60/40","second","acq","second",0.00708049361154572,0.00708049361154572
"59","ss33",-3.01645165108297,"lowAnx","id","trno","ss33",0.0119135666991523,0.0123997488906358,"acq","60/40","second","acq","second",0.0119135666991523,0.0119135666991523
"60","ss34",12.983548348917,"hiAnx","id","trno","ss34",0.0132625056800913,0.0123997488906358,"acq","60/40","second","acq","second",0.0132625056800913,0.0132625056800913
"61","ss35",-1.01645165108297,"lowAnx","id","trno","ss35",-0.0108886007699196,0.010430913486155,"acq","60/40","second","acq","second",0.0108886007699196,0.0108886007699196
"62","ss36",-3.01645165108297,"lowAnx","id","trno","ss36",0.00467774518886203,0.010430913486155,"acq","60/40","second","acq","second",0.00467774518886203,0.00467774518886203
"63","ss37",12.983548348917,"hiAnx","id","trno","ss37",-0.00571718740692882,0.0115606362190498,"acq","60/40","second","acq","second",0.00571718740692882,0.00571718740692882
"64","ss38",-20.016451651083,"lowAnx","id","trno","ss38",-0.0184121738708604,0.0115606362190498,"acq","60/40","second","acq","second",0.0184121738708604,0.0184121738708604
"65","ss39",-7.01645165108297,"lowAnx","id","trno","ss39",0.0124694569245445,0.010430913486155,"acq","60/40","second","acq","second",0.0124694569245445,0.0124694569245445
"66","ss40",15.983548348917,"hiAnx","id","trno","ss40",0.00602247066681184,0.0117960789461312,"acq","60/40","second","acq","second",0.00602247066681184,0.00602247066681184
"67","ss41",1.98354834891703,"hiAnx","id","trno","ss41",-0.00849209814249939,0.0115606362190498,"acq","60/40","second","acq","second",0.00849209814249939,0.00849209814249939
"68","ss42",6.98354834891703,"hiAnx","id","trno","ss42",0.0163810821988991,0.0123997488906358,"acq","60/40","second","acq","second",0.0163810821988991,0.0163810821988991
"69","ss5",26.983548348917,"hiAnx","id","trno","ss5",-0.00858457854395924,0.010430913486155,"acq","60/40","second","acq","second",0.00858457854395924,0.00858457854395924
"70","ss7",19.983548348917,"hiAnx","id","trno","ss7",0.0106325311132081,0.010430913486155,"acq","60/40","second","acq","second",0.0106325311132081,0.0106325311132081
