specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
ss41_bl9010,42,2,2,90/10,study_3,ss41,0.0268627450980392,0.00771960623916655,low-prob
ss42_bl6040,47,2,1,60/40,study_3,ss42,0.615128205128205,-0.0202207414585362,hi-prob
ss42_bl6040,47,2,2,60/40,study_3,ss42,0.591666666666667,0.0952296424611261,low-prob
ss42_bl7525,47,2,1,75/25,study_3,ss42,0.844146341463414,0.154918716788761,hi-prob
ss42_bl7525,47,2,2,75/25,study_3,ss42,0.409268292682927,0.149340231387162,low-prob
ss42_bl9010,47,2,1,90/10,study_3,ss42,0.628173076923077,-0.26014237263913,hi-prob
ss42_bl9010,47,2,2,90/10,study_3,ss42,0.131634615384615,0.00961470344377249,low-prob
ss4_bl7525,28,1,1,75/25,study_3,ss4,0.700098039215686,-0.00316984062772951,hi-prob
ss4_bl7525,28,1,2,75/25,study_3,ss4,0.442058823529412,0.173961530297485,low-prob
ss4_bl9010,28,1,1,90/10,study_3,ss4,0.40054347826087,-0.512026861741838,hi-prob
ss4_bl9010,28,1,2,90/10,study_3,ss4,0.321847826086957,0.293483310835586,low-prob
ss5_bl6040,67,2,1,60/40,study_3,ss5,0.888541666666667,0.320043028271633,hi-prob
ss5_bl6040,67,2,2,60/40,study_3,ss5,0.254375,-0.0707705978986482,low-prob
ss5_bl7525,67,2,1,75/25,study_3,ss5,0.95076923076923,0.108831587746146,hi-prob
ss5_bl7525,67,2,2,75/25,study_3,ss5,0.060576923076923,-0.12586636504841,low-prob
ss5_bl9010,67,2,1,90/10,study_3,ss5,0.928823529411765,-0.0249209705973937,hi-prob
ss5_bl9010,67,2,2,90/10,study_3,ss5,0.0517647058823529,0.0326215670234803,low-prob
ss7_bl6040,60,2,1,60/40,study_3,ss7,0.477980769230769,-0.143448380503775,hi-prob
ss7_bl6040,60,2,2,60/40,study_3,ss7,0.479519230769231,0.174804952779042,low-prob
ss7_bl7525,60,2,1,75/25,study_3,ss7,0.468478260869565,-0.407953158405462,hi-prob
ss7_bl7525,60,2,2,75/25,study_3,ss7,0.441304347826087,0.261993148795589,low-prob
ss7_bl9010,60,2,1,90/10,study_3,ss7,0.531595744680851,-0.436960850567182,hi-prob
ss7_bl9010,60,2,2,90/10,study_3,ss7,0.302021276595745,0.234893857930076,low-prob
ss8_bl6040,20,1,1,60/40,study_3,ss8,0.561979166666667,-0.0278838009966596,hi-prob
ss8_bl6040,20,1,2,60/40,study_3,ss8,0.6196875,0.312205592577542,low-prob
ss8_bl9010,20,1,1,90/10,study_3,ss8,0.9375,0.02897553749763,hi-prob
ss8_bl9010,20,1,2,90/10,study_3,ss8,0.130340909090909,-0.0377206686597811,low-prob
ss9_bl6040,41,2,1,60/40,study_3,ss9,0.533269230769231,-0.07618647574187,hi-prob
ss9_bl6040,41,2,2,60/40,study_3,ss9,0.560192307692308,0.262975684486359,low-prob
ss9_bl7525,41,2,1,75/25,study_3,ss9,0.884818181818182,0.213705194973598,hi-prob
ss9_bl7525,41,2,2,75/25,study_3,ss9,0.405454545454545,0.116812313817812,low-prob
ss9_bl9010,41,2,1,90/10,study_3,ss9,0.883617021276596,-0.0849395739714373,hi-prob
ss9_bl9010,41,2,2,90/10,study_3,ss9,0.155106382978723,0.0879789643130547,low-prob
