specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
pl18,31,1,2,75/25,study_1,pl18,0.345821917808219,0.165375250762059,low-prob
pl19,31,1,1,75/25,study_1,pl19,0.632260273972602,-0.0995667760765096,hi-prob
pl19,31,1,2,75/25,study_1,pl19,0.290753424657534,0.110306757611374,low-prob
pl2,71,2,1,75/25,study_1,pl2,0.614861111111111,-0.108618982541022,hi-prob
pl2,71,2,2,75/25,study_1,pl2,0.533263888888889,0.210203206465429,low-prob
pl20,31,1,1,75/25,study_1,pl20,0.614454545454545,-0.155576979124609,hi-prob
pl20,31,1,2,75/25,study_1,pl20,0.549272727272727,0.127009468183915,low-prob
pl21,49,2,1,75/25,study_1,pl21,0.86431506849315,0.132488018444038,hi-prob
pl21,49,2,2,75/25,study_1,pl21,0.219657534246575,0.0392108672004152,low-prob
pl22,44,2,1,75/25,study_1,pl22,0.748055555555556,0.018167689506389,hi-prob
pl22,44,2,2,75/25,study_1,pl22,0.520277777777778,0.119348562549776,low-prob
pl23,24,1,1,75/25,study_1,pl23,0.612083333333333,-0.146909233570534,hi-prob
pl23,24,1,2,75/25,study_1,pl23,0.391527777777778,-0.0203437451425312,low-prob
pl24,44.5,2,1,75/25,study_1,pl24,0.727945205479452,-0.00388184456966028,hi-prob
pl24,44.5,2,2,75/25,study_1,pl24,0.388493150684932,0.208046483638771,low-prob
pl25,30,1,1,75/25,study_1,pl25,0.740902777777778,-0.0194476951089957,hi-prob
pl25,30,1,2,75/25,study_1,pl25,0.50125,0.101040870242084,low-prob
pl26,26,1,1,75/25,study_1,pl26,0.725,-0.0720911653093949,hi-prob
pl26,26,1,2,75/25,study_1,pl26,0.580352112676056,0.338930824530839,low-prob
pl27,44,2,1,75/25,study_1,pl27,0.873533333333333,0.0749273698061815,hi-prob
pl27,44,2,2,75/25,study_1,pl27,0.185333333333333,-0.104516388531373,low-prob
pl28,40,2,1,75/25,study_1,pl28,0.871438356164383,0.139611306115271,hi-prob
pl28,40,2,2,75/25,study_1,pl28,0.303424657534247,0.122977990488086,low-prob
pl29,46,2,1,75/25,study_1,pl29,0.746164383561644,0.0143373335125315,hi-prob
pl29,46,2,2,75/25,study_1,pl29,0.14013698630137,-0.0403096807447903,low-prob
pl3,25,1,1,75/25,study_1,pl3,0.833630136986301,0.101803086937189,hi-prob
pl3,25,1,2,75/25,study_1,pl3,0.219383561643836,0.0389368945976755,low-prob
