ta,specID,contingency,study,noswitches,ids,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff
38,f31_v2,75/25,2,NaN,f31,0.306980689639811,0.309140124331835,0.31699379052449,0,-0.00215943469202384,-0.010013100884679,0.00215943469202384,0,-0.00785366619265515,0.010013100884679,0.00785366619265515,0
41,f36_v2,75/25,2,NaN,f36,0.575849876382771,0.477313645661401,0.491634747953126,0,0.0985362307213696,0.0842151284296442,-0.0985362307213696,0,-0.0143211022917254,-0.0842151284296442,0.0143211022917254,0
52,f38_v2,75/25,2,NaN,f38,0.623135941561274,0.591626738927437,0.606136915795576,0,0.0315092026338368,0.0169990257656978,-0.0315092026338368,0,-0.014510176868139,-0.0169990257656978,0.014510176868139,0
30,f40_v2,75/25,2,NaN,f40,0.563644790210016,0.575391922078538,0.535675831126135,0,-0.0117471318685221,0.0279689590838802,0.0117471318685221,0,0.0397160909524022,-0.0279689590838802,-0.0397160909524022,0
32,f42_v2,75/25,2,NaN,f42,0.377748510382227,0.392266734359097,0.381326563614041,0,-0.0145182239768706,-0.0035780532318147,0.0145182239768706,0,0.0109401707450559,0.0035780532318147,-0.0109401707450559,0
46,ss3_bl6040,60/40,3,NaN,ss3,0.313060522473517,0.063771587911272,0.336241670584375,0,0.249288934562245,-0.0231811481108579,-0.249288934562245,0,-0.272470082673103,0.0231811481108579,0.272470082673103,0
46,ss3_bl7525,75/25,3,NaN,ss3,0.243399747286067,-0.0414335605181145,0.212254186729955,0,0.284833307804181,0.0311455605561115,-0.284833307804181,0,-0.25368774724807,-0.0311455605561115,0.25368774724807,0
46,ss3_bl9010,90/10,3,NaN,ss3,0.50411080274432,0.557594490894707,0.490269351828943,0,-0.0534836881503873,0.0138414509153775,0.0534836881503873,0,0.0673251390657648,-0.0138414509153775,-0.0673251390657648,0
28,ss4_bl7525,75/25,3,NaN,ss4,0.383413390097696,0.389490805138872,0.298237040939715,0,-0.00607741504117565,0.0851763491579808,0.00607741504117565,0,0.0912537641991565,-0.0851763491579808,-0.0912537641991565,0
28,ss4_bl9010,90/10,3,NaN,ss4,0.0911065770068344,0.110332846370898,0.118621646399483,0,-0.0192262693640632,-0.0275150693926491,0.0192262693640632,0,-0.00828880002858588,0.0275150693926491,0.00828880002858588,0
67,ss5_bl6040,60/40,3,NaN,ss5,0.387499593208951,0.467417542099216,0.441119932583691,0,-0.079917948890265,-0.0536203393747395,0.079917948890265,0,0.0262976095155255,0.0536203393747395,-0.0262976095155255,0
67,ss5_bl7525,75/25,3,NaN,ss5,0.686699753314943,0.757351036366804,0.676296007872123,0,-0.0706512830518617,0.01040374544282,0.0706512830518617,0,0.0810550284946817,-0.01040374544282,-0.0810550284946817,0
67,ss5_bl9010,90/10,3,NaN,ss5,0.737773169741187,0.690851711686293,0.693630091359322,0,0.0469214580548946,0.0441430783818655,-0.0469214580548946,0,-0.00277837967302907,-0.0441430783818655,0.00277837967302907,0
60,ss7_bl6040,60/40,3,NaN,ss7,0.0470243474398854,0.0525796601984216,0.146238818711335,0,-0.00555531275853626,-0.0992144712714498,0.00555531275853626,0,-0.0936591585129136,0.0992144712714498,0.0936591585129136,0
60,ss7_bl7525,75/25,3,NaN,ss7,0.181844692551868,0.162432659531281,0.131484132082809,0,0.0194120330205867,0.0503605604690587,-0.0194120330205867,0,0.0309485274484721,-0.0503605604690587,-0.0309485274484721,0
60,ss7_bl9010,90/10,3,NaN,ss7,0.25649403137181,0.270767729576312,0.296032156239607,0,-0.0142736982045021,-0.0395381248677974,0.0142736982045021,0,-0.0252644266632953,0.0395381248677974,0.0252644266632953,0
20,ss8_bl6040,60/40,3,NaN,ss8,0.579202548174996,0.597105542287886,0.587584270166744,0,-0.0179029941128906,-0.0083817219917488,0.0179029941128906,0,0.00952127212114184,0.0083817219917488,-0.00952127212114184,0
20,ss8_bl9010,90/10,3,NaN,ss8,0.72525185089811,0.751179424515123,0.689580338437561,0,-0.0259275736170128,0.0356715124605497,0.0259275736170128,0,0.0615990860775625,-0.0356715124605497,-0.0615990860775625,0
41,ss9_bl6040,60/40,3,NaN,ss9,0.471858749004778,NaN,0.465800201261476,0,NaN,0.00605854774330267,NaN,NaN,NaN,-0.00605854774330267,NaN,0
41,ss9_bl7525,75/25,3,NaN,ss9,0.535890100417226,0.542051620482537,0.488152262448361,0,-0.00616152006531145,0.0477378379688646,0.00616152006531145,0,0.0538993580341761,-0.0477378379688646,-0.0538993580341761,0
41,ss9_bl9010,90/10,3,NaN,ss9,0.323615221821078,0.239974481133898,0.380932621499013,0,0.0836407406871797,-0.0573173996779353,-0.0836407406871797,0,-0.140958140365115,0.0573173996779353,0.140958140365115,0
56,ss10_bl6040,60/40,3,NaN,ss10,0.471590205703557,0.475949020260362,0.42218530713709,0,-0.00435881455680504,0.0494048985664665,0.00435881455680504,0,0.0537637131232716,-0.0494048985664665,-0.0537637131232716,0
56,ss10_bl7525,75/25,3,NaN,ss10,0.364381672490954,NaN,0.163403526641911,0,NaN,0.200978145849042,NaN,NaN,NaN,-0.200978145849042,NaN,0
56,ss10_bl9010,90/10,3,NaN,ss10,0.649159666259525,0.663488144484751,0.638169992465619,0,-0.0143284782252255,0.0109896737939066,0.0143284782252255,0,0.0253181520191321,-0.0109896737939066,-0.0253181520191321,0
45,ss12_bl6040,60/40,3,NaN,ss12,0.581614624618715,0.106859233629852,0.493320807867835,0,0.474755390988863,0.0882938167508805,-0.474755390988863,0,-0.386461574237982,-0.0882938167508805,0.386461574237982,0
45,ss12_bl7525,75/25,3,NaN,ss12,0.186583023104573,0.133619578472125,0.198574625196652,0,0.0529634446324483,-0.0119916020920791,-0.0529634446324483,0,-0.0649550467245273,0.0119916020920791,0.0649550467245273,0
45,ss12_bl9010,90/10,3,NaN,ss12,0.112763923232738,0.107394212602608,0.0768088645793426,0,0.00536971063013039,0.0359550586533957,-0.00536971063013039,0,0.0305853480232653,-0.0359550586533957,-0.0305853480232653,0
27,ss13_bl6040,60/40,3,NaN,ss13,0.189449970462821,0.121247981096206,0.142527918333751,0,0.0682019893666157,0.0469220521290707,-0.0682019893666157,0,-0.021279937237545,-0.0469220521290707,0.021279937237545,0
27,ss13_bl7525,75/25,3,NaN,ss13,0.363244463444114,0.344119370737105,0.184869998083222,0,0.0191250927070086,0.178374465360892,-0.0191250927070086,0,0.159249372653884,-0.178374465360892,-0.159249372653884,0
27,ss13_bl9010,90/10,3,NaN,ss13,0.077376974790989,0.0901318119492511,0.0266155617944185,0,-0.0127548371582621,0.0507614129965704,0.0127548371582621,0,0.0635162501548326,-0.0507614129965704,-0.0635162501548326,0
44,ss14_bl6040,60/40,3,NaN,ss14,0.262346335991735,0.114088786657098,0.036029861112537,0,0.148257549334637,0.226316474879198,-0.148257549334637,0,0.0780589255445614,-0.226316474879198,-0.0780589255445614,0
44,ss14_bl7525,75/25,3,NaN,ss14,0.31912533414079,0.137177976366275,0.276397522095621,0,0.181947357774515,0.0427278120451693,-0.181947357774515,0,-0.139219545729346,-0.0427278120451693,0.139219545729346,0
44,ss14_bl9010,90/10,3,NaN,ss14,0.452380488707497,0.445476006838838,0.249512819336033,0,0.00690448186865866,0.202867669371464,-0.00690448186865866,0,0.195963187502805,-0.202867669371464,-0.195963187502805,0
37,ss15_bl6040,60/40,3,NaN,ss15,0.422361991703468,0.44817826144562,0.385075978617618,0,-0.0258162697421523,0.0372860130858495,0.0258162697421523,0,0.0631022828280018,-0.0372860130858495,-0.0631022828280018,0
37,ss15_bl7525,75/25,3,NaN,ss15,0.507201534482317,NaN,0.506078752591892,0,NaN,0.00112278189042536,NaN,NaN,NaN,-0.00112278189042536,NaN,0
37,ss15_bl9010,90/10,3,NaN,ss15,0.542641877850976,0.540374571954663,0.538799733555659,0,0.00226730589631319,0.00384214429531693,-0.00226730589631319,0,0.00157483839900374,-0.00384214429531693,-0.00157483839900374,0
30,ss16_bl6040,60/40,3,NaN,ss16,0.223515230420648,0.216406233382012,0.248155647481666,0,0.00710899703863613,-0.0246404170610181,-0.00710899703863613,0,-0.0317494140996542,0.0246404170610181,0.0317494140996542,0
30,ss16_bl7525,75/25,3,NaN,ss16,0.398112061773797,0.424227964303277,0.415446907982446,0,-0.0261159025294799,-0.0173348462086486,0.0261159025294799,0,0.00878105632083126,0.0173348462086486,-0.00878105632083126,0
30,ss16_bl9010,90/10,3,NaN,ss16,0.336752510934247,0.163778204277514,0.465081465190296,0,0.172974306656733,-0.128328954256049,-0.172974306656733,0,-0.301303260912782,0.128328954256049,0.301303260912782,0
49,ss17_bl6040,60/40,3,NaN,ss17,0.646888189557333,0.630204551877622,0.646438410121166,0,0.0166836376797102,0.000449779436166531,-0.0166836376797102,0,-0.0162338582435436,-0.000449779436166531,0.0162338582435436,0
49,ss17_bl7525,75/25,3,NaN,ss17,0.665319149597911,0.695124387758096,0.674359883938628,0,-0.0298052381601851,-0.00904073434071728,0.0298052381601851,0,0.0207645038194678,0.00904073434071728,-0.0207645038194678,0
49,ss17_bl9010,90/10,3,NaN,ss17,0.713431769084366,0.716593793545682,0.745596291577145,0,-0.00316202446131586,-0.032164522492779,0.00316202446131586,0,-0.0290024980314632,0.032164522492779,0.0290024980314632,0
34,ss18_bl6040,60/40,3,NaN,ss18,0.0940113527342942,0.166618754772531,0.0695570948357929,0,-0.0726074020382371,0.0244542578985014,0.0726074020382371,0,0.0970616599367385,-0.0244542578985014,-0.0970616599367385,0
34,ss18_bl7525,75/25,3,NaN,ss18,0.131778629305556,0.149114496628312,0.0647303789616752,0,-0.0173358673227564,0.0670482503438804,0.0173358673227564,0,0.0843841176666368,-0.0670482503438804,-0.0843841176666368,0
34,ss18_bl9010,90/10,3,NaN,ss18,0.050886017356393,0.203325674501296,-0.0299253573579178,0,-0.152439657144903,0.0808113747143109,0.152439657144903,0,0.233251031859214,-0.0808113747143109,-0.233251031859214,0
34,ss19_bl6040,60/40,3,NaN,ss19,0.18248046444824,0.282992531758463,0.168885424243013,0,-0.100512067310223,0.0135950402052268,0.100512067310223,0,0.11410710751545,-0.0135950402052268,-0.11410710751545,0
34,ss19_bl7525,75/25,3,NaN,ss19,0.287792859458118,0.222080255874146,0.199513049671049,0,0.0657126035839726,0.0882798097870688,-0.0657126035839726,0,0.0225672062030962,-0.0882798097870688,-0.0225672062030962,0
34,ss19_bl9010,90/10,3,NaN,ss19,0.492574186392963,0.513385630899806,0.542840647320905,0,-0.0208114445068434,-0.0502664609279425,0.0208114445068434,0,-0.0294550164210992,0.0502664609279425,0.0294550164210992,0
29,ss20_bl6040,60/40,3,NaN,ss20,0.515239909433659,0.0533320435852005,0.604323760442323,0,0.461907865848459,-0.089083851008664,-0.461907865848459,0,-0.550991716857123,0.089083851008664,0.550991716857123,0
29,ss20_bl7525,75/25,3,NaN,ss20,0.250971203049636,0.136265330712106,0.0818191272258495,0,0.11470587233753,0.169152075823787,-0.11470587233753,0,0.0544462034862567,-0.169152075823787,-0.0544462034862567,0
29,ss20_bl9010,90/10,3,NaN,ss20,0.0624165102627273,-0.0246833007794455,0.0985190658481825,0,0.0870998110421728,-0.0361025555854551,-0.0870998110421728,0,-0.123202366627628,0.0361025555854551,0.123202366627628,0
50,ss21_bl6040,60/40,3,NaN,ss21,0.576560048793686,0.618109050225068,0.527499866671124,0,-0.0415490014313814,0.049060182122562,0.0415490014313814,0,0.0906091835539434,-0.049060182122562,-0.0906091835539434,0
50,ss21_bl7525,75/25,3,NaN,ss21,0.653617880602202,0.676988832813808,0.568688942243951,0,-0.0233709522116055,0.0849289383582512,0.0233709522116055,0,0.108299890569857,-0.0849289383582512,-0.108299890569857,0
50,ss21_bl9010,90/10,3,NaN,ss21,0.748329151623733,0.770684593701598,0.705589814999005,0,-0.0223554420778658,0.0427393366247273,0.0223554420778658,0,0.0650947787025931,-0.0427393366247273,-0.0650947787025931,0
52,ss22_bl6040,60/40,3,NaN,ss22,0.431404899280277,0.506695831737355,0.473168540873378,0,-0.0752909324570786,-0.0417636415931012,0.0752909324570786,0,0.0335272908639774,0.0417636415931012,-0.0335272908639774,0
52,ss22_bl7525,75/25,3,NaN,ss22,0.297214998334357,0.187773213900959,0.281011366971916,0,0.109441784433399,0.0162036313624411,-0.109441784433399,0,-0.0932381530709578,-0.0162036313624411,0.0932381530709578,0
52,ss22_bl9010,90/10,3,NaN,ss22,0.701885517970107,0.732218698422289,0.68554657112292,0,-0.0303331804521826,0.0163389468471863,0.0303331804521826,0,0.0466721272993689,-0.0163389468471863,-0.0466721272993689,0
44,ss23_bl6040,60/40,3,NaN,ss23,0.549188895980821,0.647889193335752,0.387417297506677,0,-0.0987002973549311,0.161771598474144,0.0987002973549311,0,0.260471895829075,-0.161771598474144,-0.260471895829075,0
44,ss23_bl7525,75/25,3,NaN,ss23,0.555288519208563,0.517289615658486,0.540734727225619,0,0.0379989035500765,0.0145537919829439,-0.0379989035500765,0,-0.0234451115671326,-0.0145537919829439,0.0234451115671326,0
44,ss23_bl9010,90/10,3,NaN,ss23,0.682074147189901,0.719593035399219,0.691216526095224,0,-0.0375188882093176,-0.00914237890532299,0.0375188882093176,0,0.0283765093039946,0.00914237890532299,-0.0283765093039946,0
27,ss24_bl6040,60/40,3,NaN,ss24,0.395878626136884,0.10409514274635,-0.11462431225138,0,0.291783483390534,0.510502938388264,-0.291783483390534,0,0.21871945499773,-0.510502938388264,-0.21871945499773,0
27,ss24_bl7525,75/25,3,NaN,ss24,0.0424522418026311,0.131045000665071,0.267000583692939,0,-0.0885927588624396,-0.224548341890308,0.0885927588624396,0,-0.135955583027869,0.224548341890308,0.135955583027869,0
27,ss24_bl9010,90/10,3,NaN,ss24,-0.00757643815029694,-0.0536038515560973,NaN,0,0.0460274134058003,NaN,-0.0460274134058003,0,NaN,NaN,NaN,NaN
40,ss25_bl6040,60/40,3,NaN,ss25,0.280447857766828,0.340575983866178,-0.145548550857918,0,-0.06012812609935,0.425996408624746,0.06012812609935,0,0.486124534724096,-0.425996408624746,-0.486124534724096,0
40,ss25_bl7525,75/25,3,NaN,ss25,0.47172400569356,0.563563623158284,0.0122437271864374,0,-0.0918396174647237,0.459480278507123,0.0918396174647237,0,0.551319895971847,-0.459480278507123,-0.551319895971847,0
40,ss25_bl9010,90/10,3,NaN,ss25,0.41999417677096,0.424178677813833,0.421006026080261,0,-0.0041845010428721,-0.00101184930930026,0.0041845010428721,0,0.00317265173357184,0.00101184930930026,-0.00317265173357184,0
50,ss26_bl6040,60/40,3,NaN,ss26,0.606792008314666,0.581923483383737,0.5579805193502,0,0.0248685249309289,0.0488114889644663,-0.0248685249309289,0,0.0239429640335374,-0.0488114889644663,-0.0239429640335374,0
50,ss26_bl7525,75/25,3,NaN,ss26,0.759203072130089,0.762762912956943,0.56555330845003,0,-0.00355984082685346,0.193649763680059,0.00355984082685346,0,0.197209604506913,-0.193649763680059,-0.197209604506913,0
50,ss26_bl9010,90/10,3,NaN,ss26,0.776122446394886,0.820620421334309,0.736076538802488,0,-0.0444979749394229,0.0400459075923982,0.0444979749394229,0,0.0845438825318211,-0.0400459075923982,-0.0845438825318211,0
27,ss27_bl6040,60/40,3,NaN,ss27,0.0807983418371038,0.10279260341304,0.122060221835134,0,-0.0219942615759363,-0.0412618799980303,0.0219942615759363,0,-0.019267618422094,0.0412618799980303,0.019267618422094,0
27,ss27_bl7525,75/25,3,NaN,ss27,0.198158651541755,NaN,0.241996664832915,0,NaN,-0.0438380132911596,NaN,NaN,NaN,0.0438380132911596,NaN,0
27,ss27_bl9010,90/10,3,NaN,ss27,0.428419114857202,0.501701331872249,0.436532822276915,0,-0.0732822170150477,-0.00811370741971312,0.0732822170150477,0,0.0651685095953345,0.00811370741971312,-0.0651685095953345,0
38,ss28_bl6040,60/40,3,NaN,ss28,0.481589496613994,0.506865550595968,0.454695471795362,0,-0.025276053981974,0.0268940248186321,0.025276053981974,0,0.0521700788006061,-0.0268940248186321,-0.0521700788006061,0
38,ss28_bl7525,75/25,3,NaN,ss28,0.543756865373521,0.520625486612494,0.491771206512787,0,0.023131378761027,0.0519856588607348,-0.023131378761027,0,0.0288542800997078,-0.0519856588607348,-0.0288542800997078,0
38,ss28_bl9010,90/10,3,NaN,ss28,0.713368810712398,0.738628787569745,0.682757248076002,0,-0.0252599768573469,0.0306115626363953,0.0252599768573469,0,0.0558715394937422,-0.0306115626363953,-0.0558715394937422,0
40,ss29_bl6040,60/40,3,NaN,ss29,0.639504408787729,0.680117484985623,0.556182403047073,0,-0.0406130761978937,0.083322005740656,0.0406130761978937,0,0.12393508193855,-0.083322005740656,-0.12393508193855,0
40,ss29_bl7525,75/25,3,NaN,ss29,0.609174587047257,0.644427746019899,0.572271868465643,0,-0.0352531589726421,0.0369027185816132,0.0352531589726421,0,0.0721558775542553,-0.0369027185816132,-0.0721558775542553,0
40,ss29_bl9010,90/10,3,NaN,ss29,0.797338433686338,0.80585514272715,0.774325838676991,0,-0.00851670904081148,0.0230125950093475,0.00851670904081148,0,0.031529304050159,-0.0230125950093475,-0.031529304050159,0
53,ss30_bl6040,60/40,3,NaN,ss30,0.618391087916642,0.68665329405781,0.464727026835661,0,-0.0682622061411678,0.153664061080981,0.0682622061411678,0,0.221926267222149,-0.153664061080981,-0.221926267222149,0
53,ss30_bl7525,75/25,3,NaN,ss30,0.682333679067114,0.689990212355922,0.59750702585932,0,-0.00765653328880822,0.0848266532077938,0.00765653328880822,0,0.092483186496602,-0.0848266532077938,-0.092483186496602,0
